csv_token,figma_name,figma_id
affirm.color.merchant_tile.container.bg.focus_visible,color/merchant_tile/container/bg/focus_visible,VariableID:7130:97
affirm.color.merchant_tile.container.bg.hover,color/merchant_tile/container/bg/hover,VariableID:7130:95
affirm.color.merchant_tile.container.bg.pressed,color/merchant_tile/container/bg/pressed,VariableID:7130:96
affirm.color.merchant_tile.container.bg.resting,color/merchant_tile/container/bg/resting,VariableID:7130:89
affirm.color.merchant_tile.container.border.focus_visible,color/merchant_tile/container/border/focus_visible,VariableID:7130:104
affirm.color.merchant_tile.container.border.hover,color/merchant_tile/container/border/hover,VariableID:7130:102
affirm.color.merchant_tile.container.border.pressed,color/merchant_tile/container/border/pressed,VariableID:7130:103
affirm.color.merchant_tile.container.border.resting,color/merchant_tile/container/border/resting,VariableID:7130:101
affirm.color.merchant_tile.container.outline.focus_visible,color/merchant_tile/container/outline/focus_visible,VariableID:7721:973
affirm.color.merchant_tile.merchant_info.name.text.focus_visible,color/merchant_tile/merchant_info/name/text/focus_visible,VariableID:7130:100
affirm.color.merchant_tile.merchant_info.name.text.hover,color/merchant_tile/merchant_info/name/text/hover,VariableID:7130:98
affirm.color.merchant_tile.merchant_info.name.text.pressed,color/merchant_tile/merchant_info/name/text/pressed,VariableID:7130:99
affirm.color.merchant_tile.merchant_info.name.text.resting,color/merchant_tile/merchant_info/name/text/resting,VariableID:7130:92
affirm.color.merchant_tile.term_text.icon.focus_visible,color/merchant_tile/term_text/icon/focus_visible,VariableID:7591:1035
affirm.color.merchant_tile.term_text.icon.hover,color/merchant_tile/term_text/icon/hover,VariableID:7591:1033
affirm.color.merchant_tile.term_text.icon.pressed,color/merchant_tile/term_text/icon/pressed,VariableID:7591:1034
affirm.color.merchant_tile.term_text.icon.resting,color/merchant_tile/term_text/icon/resting,VariableID:7591:1032
affirm.color.merchant_tile.term_text.text.focus_visible,color/merchant_tile/term_text/text/focus_visible,VariableID:7591:1031
affirm.color.merchant_tile.term_text.text.hover,color/merchant_tile/term_text/text/hover,VariableID:7591:1023
affirm.color.merchant_tile.term_text.text.pressed,color/merchant_tile/term_text/text/pressed,VariableID:7591:1030
affirm.color.merchant_tile.term_text.text.resting,color/merchant_tile/term_text/text/resting,VariableID:7591:1022
affirm.position.merchant_tile.badge.left,position/merchant_tile/badge/left,VariableID:7721:987
affirm.position.merchant_tile.badge.top,position/merchant_tile/badge/top,VariableID:7721:988
affirm.position.merchant_tile.merchant_img.merchant_logo.bottom,position/merchant_tile/merchant_img/merchant_logo/bottom,VariableID:7721:986
affirm.position.merchant_tile.merchant_img.merchant_logo.left,position/merchant_tile/merchant_img/merchant_logo/left,VariableID:7721:985
affirm.radius.merchant_tile.container.all,radius/merchant_tile/container/all,VariableID:7130:93
affirm.radius.merchant_tile.merchant_img.all,radius/merchant_tile/merchant_img/all,VariableID:7721:975
affirm.size.merchant_tile.container.outline.width.focus_visible,size/merchant_tile/container/outline/width/focus_visible,VariableID:7130:108
affirm.size.merchant_tile.merchant_img.merchant_logo.all,size/merchant_tile/merchant_img/merchant_logo/all,VariableID:7190:155
affirm.size.merchant_tile.term_text.icon.all,size/merchant_tile/term_text/icon/all,VariableID:7721:989
affirm.spacing.merchant_tile.container.outline.offset.focus_visible,spacing/merchant_tile/container/outline/offset/focus_visible,VariableID:7721:983
affirm.spacing.merchant_tile.merchant_info.gap_y,spacing/merchant_tile/merchant_info/gap_y,VariableID:7591:1039
affirm.spacing.merchant_tile.merchant_info.padding_bottom,spacing/merchant_tile/merchant_info/padding_bottom,VariableID:2229:4080
affirm.spacing.merchant_tile.merchant_info.padding_top,spacing/merchant_tile/merchant_info/padding_top,VariableID:2229:4079
affirm.spacing.merchant_tile.merchant_info.padding_x,spacing/merchant_tile/merchant_info/padding_x,VariableID:2229:4078
affirm.spacing.merchant_tile.term_text.gap_x,spacing/merchant_tile/term_text/gap_x,VariableID:7591:1040
